reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
47,288.0,0.0,288,288,6.127659574468085,32,32,32,472.0,0.0,472,472,10.042553191489361,5.977710233029382,7
48,288.0,0.0,288,288,6.0,32,32,32,482.0,0.0,482,482,10.041666666666666,5.9771825396825395,7
49,288.0,0.0,288,288,5.877551020408164,32,32,32,492.0,0.0,492,492,10.040816326530612,5.97667638483965,7
50,320.0,0.0,320,320,6.4,32,32,32,502.0,0.0,502,502,10.04,5.976190476190475,7
51,288.0,0.0,288,288,5.647058823529412,32,32,32,512.0,0.0,512,512,10.03921568627451,5.975723622782446,7
52,320.0,0.0,320,320,6.153846153846154,32,32,32,522.0,0.0,522,522,10.038461538461538,5.975274725274725,7
53,320.0,0.0,320,320,6.037735849056604,32,32,32,532.0,0.0,532,532,10.037735849056604,5.9748427672955975,7
54,320.0,0.0,320,320,5.925925925925926,32,32,32,542.0,0.0,542,542,10.037037037037036,5.974426807760141,7
55,320.0,0.0,320,320,5.818181818181818,32,32,32,552.0,0.0,552,552,10.036363636363637,5.974025974025975,7
56,352.0,0.0,352,352,6.285714285714286,32,32,32,562.0,0.0,562,562,10.035714285714286,5.973639455782314,7
57,320.0,0.0,320,320,5.614035087719298,32,32,32,572.0,0.0,572,572,10.035087719298245,5.973266499582288,7
58,352.0,0.0,352,352,6.068965517241379,32,32,32,582.0,0.0,582,582,10.03448275862069,5.972906403940887,7
59,352.0,0.0,352,352,5.966101694915254,32,32,32,592.0,0.0,592,592,10.033898305084746,5.9725585149313964,7
60,384.0,0.0,384,384,6.4,32,32,32,602.0,0.0,602,602,10.033333333333333,5.972222222222222,7
61,352.0,0.0,352,352,5.770491803278689,32,32,32,612.0,0.0,612,612,10.032786885245901,5.971896955503513,7
62,384.0,0.0,384,384,6.193548387096774,32,32,32,622.0,0.0,622,622,10.03225806451613,5.971582181259601,7
63,384.0,0.0,384,384,6.095238095238095,32,32,32,632.0,0.0,632,632,10.031746031746032,5.971277399848828,7
64,384.0,0.0,384,384,6.0,32,32,32,642.0,0.0,642,642,10.03125,5.970982142857143,7
65,384.0,0.0,384,384,5.907692307692308,32,32,32,652.0,0.0,652,652,10.03076923076923,5.970695970695971,7
66,416.0,0.0,416,416,6.303030303030303,32,32,32,662.0,0.0,662,662,10.030303030303031,5.970418470418471,7
67,416.0,0.0,416,416,6.208955223880597,32,32,32,672.0,0.0,672,672,10.029850746268657,5.970149253731344,7
68,416.0,0.0,416,416,6.117647058823529,32,32,32,682.0,0.0,682,682,10.029411764705882,5.969887955182073,7
69,416.0,0.0,416,416,6.028985507246377,32,32,32,692.0,0.0,692,692,10.028985507246377,5.969634230503796,7
70,416.0,0.0,416,416,5.942857142857143,32,32,32,702.0,0.0,702,702,10.028571428571428,5.969387755102041,7
71,416.0,0.0,416,416,5.859154929577465,32,32,32,712.0,0.0,712,712,10.028169014084508,5.96914822266935,7
72,416.0,0.0,416,416,5.777777777777778,32,32,32,722.0,0.0,722,722,10.027777777777779,5.968915343915344,7
73,416.0,0.0,416,416,5.698630136986301,32,32,32,732.0,0.0,732,732,10.027397260273972,5.968688845401173,7
74,448.0,0.0,448,448,6.054054054054054,32,32,32,742.0,0.0,742,742,10.027027027027026,5.968468468468468,7
75,448.0,0.0,448,448,5.973333333333334,32,32,32,752.0,0.0,752,752,10.026666666666667,5.968253968253968,7
76,480.0,0.0,480,480,6.315789473684211,32,32,32,762.0,0.0,762,762,10.026315789473685,5.968045112781955,7
77,480.0,0.0,480,480,6.233766233766234,32,32,32,772.0,0.0,772,772,10.025974025974026,5.967841682127396,7
78,480.0,0.0,480,480,6.153846153846154,32,32,32,782.0,0.0,782,782,10.025641025641026,5.967643467643468,7
79,480.0,0.0,480,480,6.075949367088608,32,32,32,792.0,0.0,792,792,10.025316455696203,5.967450271247739,7
80,480.0,0.0,480,480,6.0,32,32,32,802.0,0.0,802,802,10.025,5.967261904761905,7
